# u	v
1	94
1	94
1	94
1	94
1	97
1	97
1	104
1	104
1	105
1	105
1	107
1	108
1	109
1	111
1	112
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	2
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	3
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	4
2	5
2	5
2	5
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	6
2	7
2	7
2	7
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	8
2	9
2	9
2	9
2	9
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	10
2	11
2	11
2	11
2	11
2	11
2	11
2	11
2	11
2	11
2	11
2	11
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	12
2	13
2	13
2	13
2	14
2	15
2	15
2	15
2	15
2	15
2	15
2	15
2	15
2	16
2	16
2	16
2	16
2	16
2	16
2	16
2	16
2	16
2	16
2	17
2	17
2	18
2	18
2	18
2	18
2	19
2	19
2	19
2	19
2	20
2	20
2	21
2	21
2	21
2	21
2	21
2	21
2	23
2	23
2	23
2	24
2	24
2	24
2	25
2	25
2	26
2	26
2	26
2	26
2	26
2	26
2	26
2	26
2	27
2	28
2	29
2	29
2	29
2	29
2	29
2	30
2	30
2	30
2	30
2	30
2	30
2	30
2	30
2	31
2	32
2	32
2	32
2	33
2	33
2	34
2	34
2	35
2	36
2	37
2	38
2	38
2	39
2	39
2	39
2	39
2	39
2	39
2	39
2	39
2	39
2	39
2	39
2	40
2	40
2	41
2	41
2	41
2	42
2	42
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	43
2	44
2	45
2	46
2	47
2	47
2	49
2	49
2	53
2	54
2	54
2	58
2	58
2	59
2	60
2	60
2	60
2	60
2	60
2	60
2	60
2	62
2	62
2	63
2	63
2	63
2	64
2	68
2	68
2	68
2	68
2	68
2	68
2	69
2	72
2	72
2	72
2	73
2	73
2	73
2	73
2	73
2	73
2	73
2	78
2	78
2	78
2	79
2	79
2	79
2	82
2	86
2	86
2	87
2	89
2	92
2	92
2	92
2	93
2	97
2	97
2	97
2	97
2	97
2	97
2	99
2	99
2	99
2	99
2	99
2	99
2	100
2	101
2	102
2	104
2	104
2	110
2	111
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	2
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	3
3	4
3	4
3	4
3	4
3	4
3	4
3	4
3	4
3	5
3	5
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	6
3	7
3	8
3	8
3	8
3	8
3	8
3	8
3	8
3	8
3	8
3	9
3	9
3	9
3	9
3	9
3	9
3	9
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	10
3	11
3	11
3	11
3	11
3	11
3	11
3	11
3	11
3	11
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	12
3	13
3	13
3	14
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	15
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	16
3	17
3	17
3	17
3	18
3	18
3	18
3	18
3	19
3	21
3	23
3	23
3	23
3	24
3	24
3	24
3	27
3	28
3	29
3	30
3	30
3	30
3	30
3	30
3	32
3	34
3	35
3	36
3	38
3	39
3	39
3	39
3	39
3	39
3	39
3	39
3	39
3	39
3	41
3	41
3	42
3	42
3	42
3	42
3	42
3	42
3	42
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	43
3	46
3	46
3	47
3	47
3	47
3	48
3	50
3	52
3	52
3	53
3	53
3	54
3	54
3	55
3	60
3	60
3	60
3	62
3	63
3	63
3	63
3	68
3	68
3	68
3	68
3	68
3	68
3	70
3	71
3	72
3	72
3	72
3	72
3	72
3	73
3	73
3	78
3	78
3	78
3	86
3	87
3	90
3	92
3	94
3	97
3	97
3	97
3	97
3	97
3	97
3	97
3	97
3	98
3	98
3	99
3	99
3	99
3	99
3	99
3	99
3	99
3	99
3	99
3	99
3	99
3	100
3	104
3	104
3	104
3	104
3	104
3	104
3	104
3	104
3	104
3	104
3	104
3	105
3	107
3	109
3	111
3	111
4	1
4	1
4	1
4	1
4	1
4	1
4	2
4	2
4	2
4	2
4	3
4	3
4	3
4	3
4	3
4	3
4	4
4	4
4	4
4	4
4	5
4	5
4	6
4	6
4	6
4	7
4	7
4	7
4	8
4	8
4	8
4	8
4	9
4	10
4	10
4	10
4	10
4	10
4	10
4	11
4	11
4	12
4	12
4	12
4	12
4	12
4	12
4	12
4	12
4	12
4	12
4	13
4	14
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	15
4	16
4	16
4	16
4	16
4	16
4	16
4	17
4	17
4	17
4	18
4	18
4	18
4	18
4	18
4	18
4	18
4	19
4	19
4	19
4	19
4	19
4	19
4	20
4	21
4	21
4	22
4	22
4	23
4	24
4	24
4	24
4	24
4	24
4	26
4	26
4	26
4	26
4	26
4	26
4	26
4	27
4	27
4	28
4	28
4	28
4	28
4	29
4	29
4	29
4	29
4	30
4	30
4	30
4	34
4	35
4	36
4	36
4	36
4	36
4	37
4	38
4	38
4	38
4	38
4	39
4	39
4	39
4	39
4	39
4	40
4	41
4	41
4	43
4	43
4	43
4	43
4	43
4	43
4	43
4	44
4	45
4	46
4	46
4	46
4	46
4	46
4	47
4	47
4	48
4	49
4	50
4	50
4	52
4	53
4	53
4	53
4	53
4	53
4	53
4	53
4	53
4	54
4	54
4	59
4	59
4	60
4	61
4	62
4	63
4	63
4	63
4	66
4	70
4	72
4	72
4	72
4	73
4	73
4	73
4	73
4	77
4	78
4	78
4	78
4	82
4	82
4	82
4	82
4	83
4	83
4	85
4	87
4	87
4	87
4	92
4	92
4	92
4	92
4	92
4	93
4	93
4	94
4	94
4	94
4	94
4	94
4	94
4	94
4	94
4	94
4	94
4	95
4	97
4	97
4	98
4	107
4	110
4	111
5	1
5	1
5	1
5	2
5	3
5	3
5	3
5	3
5	4
5	4
5	5
5	5
5	6
5	6
5	6
5	8
5	8
5	8
5	8
5	8
5	8
5	9
5	9
5	9
5	11
5	11
5	12
5	12
5	12
5	12
5	13
5	13
5	16
5	16
5	16
5	16
5	16
5	17
5	17
5	18
5	18
5	20
5	20
5	20
5	21
5	21
5	21
5	21
5	22
5	22
5	23
5	24
5	24
5	25
5	25
5	25
5	26
5	27
5	28
5	29
5	29
5	29
5	29
5	29
5	30
5	33
5	35
5	35
5	35
5	36
5	37
5	38
5	38
5	39
5	40
5	41
5	41
5	41
5	43
5	43
5	43
5	46
5	46
5	48
5	49
5	49
5	51
5	58
5	59
5	59
5	60
5	60
5	60
5	60
5	60
5	60
5	60
5	61
5	62
5	68
5	68
5	68
5	68
5	71
5	71
5	71
5	72
5	76
5	77
5	83
5	87
5	87
5	87
5	92
5	93
5	99
5	99
6	1
6	1
6	2
6	2
6	2
6	2
6	2
6	2
6	2
6	2
6	2
6	2
6	2
6	3
6	3
6	3
6	3
6	3
6	3
6	3
6	4
6	4
6	4
6	5
6	5
6	5
6	5
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	6
6	7
6	7
6	7
6	7
6	8
6	8
6	8
6	8
6	8
6	9
6	9
6	9
6	9
6	9
6	9
6	10
6	10
6	10
6	10
6	10
6	10
6	10
6	11
6	11
6	11
6	11
6	11
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	12
6	13
6	13
6	13
6	13
6	14
6	14
6	14
6	15
6	15
6	15
6	15
6	15
6	15
6	15
6	15
6	15
6	15
6	15
6	15
6	16
6	16
6	16
6	16
6	16
6	16
6	16
6	16
6	16
6	16
6	16
6	17
6	17
6	17
6	18
6	18
6	18
6	19
6	19
6	19
6	19
6	19
6	19
6	19
6	19
6	19
6	20
6	20
6	20
6	21
6	21
6	21
6	21
6	21
6	21
6	21
6	21
6	22
6	22
6	23
6	23
6	23
6	23
6	24
6	24
6	25
6	25
6	26
6	26
6	28
6	29
6	29
6	29
6	30
6	30
6	31
6	31
6	31
6	33
6	33
6	35
6	35
6	35
6	35
6	38
6	39
6	39
6	39
6	39
6	39
6	39
6	39
6	41
6	41
6	41
6	41
6	42
6	43
6	45
6	46
6	46
6	46
6	47
6	47
6	47
6	48
6	48
6	49
6	50
6	50
6	50
6	50
6	50
6	51
6	52
6	53
6	53
6	53
6	53
6	57
6	57
6	58
6	59
6	60
6	62
6	63
6	63
6	63
6	63
6	64
6	64
6	68
6	69
6	69
6	70
6	70
6	71
6	72
6	73
6	73
6	73
6	73
6	74
6	74
6	78
6	79
6	81
6	82
6	82
6	83
6	83
6	85
6	85
6	85
6	85
6	86
6	87
6	87
6	87
6	87
6	87
6	93
6	93
6	93
6	93
6	95
6	99
6	99
6	99
6	99
6	100
6	104
6	106
6	107
6	107
6	109
6	111
6	111
6	111
6	111
7	1
7	1
7	2
7	2
7	2
7	3
7	3
7	3
7	3
7	4
7	6
7	6
7	6
7	6
7	7
7	7
7	8
7	8
7	8
7	8
7	9
7	10
7	10
7	10
7	10
7	10
7	11
7	11
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	12
7	13
7	13
7	13
7	13
7	14
7	14
7	15
7	16
7	16
7	16
7	16
7	16
7	18
7	18
7	18
7	18
7	18
7	19
7	20
7	20
7	21
7	21
7	22
7	22
7	23
7	23
7	23
7	23
7	24
7	24
7	25
7	26
7	26
7	28
7	28
7	28
7	30
7	32
7	33
7	33
7	39
7	41
7	41
7	41
7	42
7	43
7	44
7	44
7	44
7	44
7	45
7	45
7	46
7	46
7	48
7	48
7	49
7	50
7	50
7	51
7	51
7	51
7	52
7	53
7	53
7	55
7	55
7	59
7	61
7	61
7	62
7	63
7	63
7	64
7	65
7	65
7	67
7	67
7	68
7	68
7	69
7	70
7	71
7	72
7	72
7	72
7	72
7	72
7	73
7	74
7	74
7	76
7	76
7	78
7	82
7	82
7	82
7	85
7	87
7	87
7	87
7	87
7	89
7	90
7	91
7	91
7	92
7	92
7	92
7	93
7	94
7	95
7	96
7	97
7	97
7	98
7	98
7	98
7	99
7	99
7	99
7	102
7	102
7	104
7	104
7	106
7	106
7	108
7	108
7	109
7	110
7	111
7	111
7	111
8	1
8	1
8	1
8	1
8	2
8	3
8	3
8	3
8	3
8	3
8	3
8	3
8	4
8	4
8	5
8	5
8	5
8	6
8	6
8	6
8	6
8	7
8	7
8	7
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	9
8	9
8	9
8	9
8	9
8	9
8	9
8	9
8	9
8	9
8	9
8	9
8	10
8	10
8	10
8	10
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	12
8	13
8	13
8	13
8	13
8	14
8	14
8	14
8	15
8	15
8	16
8	16
8	16
8	16
8	16
8	16
8	16
8	16
8	16
8	16
8	17
8	17
8	17
8	17
8	17
8	17
8	17
8	18
8	18
8	18
8	18
8	19
8	19
8	19
8	19
8	19
8	20
8	21
8	21
8	22
8	22
8	22
8	22
8	22
8	22
8	23
8	23
8	23
8	23
8	23
8	24
8	24
8	24
8	25
8	25
8	26
8	26
8	26
8	27
8	27
8	27
8	28
8	28
8	28
8	29
8	29
8	29
8	29
8	30
8	30
8	30
8	30
8	30
8	30
8	30
8	31
8	31
8	31
8	32
8	32
8	33
8	34
8	34
8	34
8	35
8	36
8	36
8	36
8	36
8	37
8	37
8	38
8	38
8	39
8	39
8	39
8	39
8	39
8	39
8	39
8	40
8	41
8	41
8	41
8	41
8	42
8	42
8	42
8	43
8	43
8	44
8	45
8	45
8	46
8	46
8	46
8	48
8	48
8	48
8	50
8	51
8	53
8	57
8	59
8	60
8	60
8	60
8	60
8	61
8	62
8	62
8	63
8	63
8	63
8	63
8	63
8	63
8	63
8	66
8	67
8	67
8	68
8	70
8	71
8	71
8	71
8	72
8	72
8	72
8	73
8	73
8	73
8	73
8	77
8	78
8	78
8	78
8	79
8	81
8	81
8	82
8	82
8	83
8	85
8	85
8	85
8	85
8	85
8	86
8	90
8	92
8	93
8	93
8	93
8	93
8	94
8	94
8	98
8	99
8	99
8	101
8	105
8	109
8	111
8	111
8	111
8	111
8	111
8	111
8	111
8	111
9	1
9	1
9	2
9	2
9	3
9	3
9	3
9	3
9	3
9	3
9	4
9	6
9	6
9	6
9	6
9	6
9	6
9	7
9	7
9	7
9	7
9	7
9	7
9	7
9	8
9	8
9	8
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	9
9	10
9	10
9	11
9	11
9	11
9	11
9	12
9	12
9	12
9	12
9	12
9	12
9	12
9	12
9	13
9	13
9	13
9	13
9	14
9	14
9	14
9	14
9	15
9	15
9	15
9	16
9	16
9	16
9	17
9	17
9	17
9	17
9	18
9	18
9	18
9	18
9	18
9	18
9	18
9	19
9	19
9	19
9	19
9	20
9	20
9	20
9	20
9	20
9	20
9	21
9	22
9	22
9	22
9	22
9	22
9	22
9	23
9	23
9	23
9	23
9	23
9	23
9	23
9	24
9	24
9	25
9	25
9	25
9	25
9	26
9	26
9	26
9	26
9	26
9	26
9	27
9	27
9	27
9	27
9	27
9	27
9	29
9	29
9	29
9	29
9	30
9	30
9	30
9	30
9	30
9	30
9	31
9	31
9	31
9	31
9	31
9	31
9	31
9	31
9	32
9	32
9	32
9	32
9	32
9	32
9	33
9	34
9	35
9	35
9	36
9	38
9	38
9	38
9	38
9	38
9	38
9	38
9	39
9	39
9	39
9	39
9	39
9	39
9	41
9	41
9	42
9	42
9	42
9	42
9	42
9	43
9	43
9	43
9	43
9	43
9	43
9	44
9	44
9	44
9	46
9	46
9	46
9	47
9	47
9	47
9	47
9	47
9	49
9	49
9	50
9	51
9	51
9	51
9	52
9	52
9	53
9	53
9	53
9	55
9	55
9	55
9	60
9	60
9	60
9	60
9	61
9	61
9	61
9	62
9	62
9	62
9	62
9	62
9	62
9	64
9	65
9	66
9	66
9	66
9	67
9	68
9	69
9	70
9	70
9	70
9	70
9	70
9	71
9	71
9	72
9	72
9	73
9	73
9	73
9	73
9	73
9	74
9	76
9	76
9	77
9	78
9	78
9	79
9	79
9	81
9	82
9	82
9	83
9	83
9	84
9	85
9	85
9	86
9	87
9	87
9	88
9	90
9	91
9	92
9	92
9	92
9	92
9	93
9	94
9	96
9	97
9	97
9	97
9	99
9	99
9	99
9	101
9	102
9	102
9	102
9	106
9	106
9	108
9	110
9	111
10	1
10	2
10	2
10	3
10	3
10	3
10	3
10	3
10	3
10	4
10	4
10	5
10	6
10	6
10	7
10	8
10	8
10	8
10	8
10	8
10	8
10	8
10	9
10	9
10	9
10	10
10	10
10	10
10	10
10	10
10	10
10	10
10	10
10	10
10	11
10	11
10	12
10	12
10	12
10	12
10	12
10	12
10	12
10	12
10	13
10	13
10	15
10	15
10	15
10	16
10	16
10	16
10	16
10	16
10	16
10	16
10	16
10	16
10	16
10	16
10	16
10	17
10	17
10	17
10	17
10	18
10	18
10	19
10	19
10	19
10	19
10	20
10	20
10	20
10	21
10	21
10	22
10	24
10	24
10	25
10	26
10	27
10	28
10	28
10	29
10	29
10	29
10	30
10	30
10	30
10	31
10	33
10	34
10	34
10	39
10	39
10	39
10	39
10	40
10	40
10	41
10	41
10	42
10	43
10	46
10	47
10	58
10	58
10	59
10	59
10	60
10	60
10	60
10	61
10	63
10	63
10	63
10	63
10	63
10	63
10	63
10	63
10	68
10	68
10	68
10	68
10	70
10	71
10	72
10	72
10	73
10	73
10	74
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	78
10	82
10	82
10	82
10	82
10	83
10	83
10	85
10	88
10	93
10	93
10	93
10	93
10	93
10	93
10	93
10	94
10	94
10	94
10	96
10	97
10	97
10	99
10	99
10	99
10	99
10	104
10	104
10	104
10	109
10	109
10	109
10	109
10	109
10	109
10	109
10	109
10	109
10	112
11	1
11	1
11	1
11	1
11	1
11	1
11	2
11	2
11	3
11	3
11	3
11	4
11	4
11	4
11	6
11	6
11	6
11	6
11	6
11	6
11	6
11	7
11	7
11	8
11	8
11	9
11	9
11	9
11	10
11	10
11	10
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	11
11	12
11	12
11	12
11	12
11	13
11	14
11	15
11	15
11	16
11	16
11	17
11	19
11	19
11	20
11	20
11	21
11	23
11	24
11	24
11	24
11	25
11	25
11	25
11	27
11	27
11	27
11	28
11	30
11	30
11	31
11	32
11	32
11	34
11	34
11	34
11	35
11	35
11	36
11	39
11	39
11	39
11	39
11	42
11	42
11	43
11	43
11	45
11	47
11	48
11	49
11	53
11	54
11	54
11	58
11	58
11	59
11	63
11	63
11	63
11	68
11	68
11	68
11	71
11	72
11	73
11	81
11	83
11	87
11	92
11	93
11	99
11	99
11	99
11	99
11	104
11	109
11	109
11	111
11	111
11	112
12	1
12	1
12	2
12	2
12	2
12	2
12	2
12	2
12	3
12	3
12	3
12	3
12	3
12	3
12	4
12	4
12	4
12	5
12	5
12	6
12	6
12	6
12	6
12	7
12	7
12	7
12	7
12	8
12	8
12	8
12	8
12	8
12	8
12	8
12	8
12	9
12	9
12	9
12	9
12	9
12	9
12	9
12	9
12	9
12	9
12	9
12	10
12	10
12	10
12	10
12	10
12	10
12	11
12	12
12	12
12	12
12	12
12	12
12	12
12	12
12	12
12	13
12	13
12	13
12	13
12	14
12	14
12	14
12	14
12	14
12	14
12	15
12	15
12	16
12	16
12	16
12	16
12	16
12	16
12	16
12	16
12	16
12	16
12	16
12	16
12	17
12	17
12	17
12	17
12	17
12	17
12	17
12	17
12	18
12	19
12	19
12	19
12	19
12	19
12	20
12	20
12	20
12	20
12	21
12	21
12	21
12	21
12	22
12	22
12	22
12	23
12	23
12	23
12	23
12	23
12	23
12	23
12	23
12	23
12	23
12	23
12	24
12	24
12	24
12	25
12	25
12	25
12	26
12	27
12	27
12	27
12	27
12	27
12	27
12	28
12	28
12	29
12	30
12	30
12	30
12	30
12	30
12	30
12	30
12	30
12	31
12	32
12	33
12	33
12	34
12	34
12	35
12	36
12	37
12	39
12	39
12	39
12	39
12	40
12	41
12	41
12	41
12	41
12	42
12	42
12	43
12	43
12	44
12	46
12	46
12	46
12	46
12	46
12	46
12	47
12	47
12	47
12	47
12	47
12	48
12	48
12	48
12	49
12	49
12	49
12	50
12	50
12	52
12	53
12	53
12	53
12	54
12	54
12	54
12	54
12	55
12	56
12	56
12	57
12	59
12	60
12	60
12	62
12	62
12	63
12	63
12	63
12	63
12	63
12	64
12	64
12	64
12	65
12	65
12	65
12	65
12	68
12	70
12	71
12	71
12	71
12	72
12	72
12	72
12	72
12	72
12	72
12	72
12	72
12	72
12	72
12	72
12	72
12	73
12	74
12	74
12	74
12	75
12	76
12	78
12	78
12	79
12	79
12	79
12	82
12	82
12	82
12	83
12	83
12	83
12	83
12	83
12	83
12	83
12	83
12	84
12	84
12	85
12	85
12	87
12	92
12	92
12	92
12	92
12	92
12	93
12	93
12	93
12	93
12	94
12	97
12	97
12	97
12	97
12	102
12	104
12	106
12	109
12	110
13	1
13	1
13	1
13	3
13	3
13	3
13	3
13	5
13	6
13	7
13	7
13	8
13	8
13	9
13	9
13	9
13	9
13	9
13	9
13	10
13	10
13	10
13	10
13	10
13	11
13	11
13	11
13	11
13	11
13	12
13	12
13	12
13	12
13	12
13	13
13	13
13	13
13	15
13	16
13	16
13	16
13	16
13	17
13	17
13	17
13	18
13	19
13	19
13	19
13	19
13	20
13	20
13	20
13	20
13	20
13	20
13	21
13	23
13	23
13	23
13	24
13	24
13	25
13	25
13	26
13	26
13	26
13	26
13	26
13	26
13	26
13	26
13	27
13	27
13	27
13	28
13	28
13	29
13	30
13	30
13	30
13	30
13	31
13	32
13	32
13	33
13	33
13	34
13	34
13	35
13	35
13	36
13	36
13	36
13	38
13	39
13	39
13	39
13	41
13	41
13	41
13	41
13	42
13	43
13	49
13	50
13	50
13	51
13	51
13	53
13	53
13	54
13	54
13	55
13	58
13	59
13	59
13	59
13	60
13	60
13	62
13	63
13	63
13	66
13	70
13	72
13	77
13	77
13	78
13	78
13	78
13	79
13	79
13	85
13	87
13	87
13	87
13	87
13	89
13	90
13	91
13	92
13	92
13	92
13	93
13	94
13	95
13	98
13	99
14	1
14	2
14	2
14	4
14	4
14	4
14	4
14	4
14	6
14	8
14	8
14	9
14	11
14	12
14	12
14	13
14	13
14	13
14	13
14	13
14	14
14	14
14	14
14	14
14	14
14	14
14	14
14	15
14	15
14	16
14	17
14	17
14	17
14	17
14	17
14	17
14	17
14	18
14	20
14	21
14	21
14	21
14	21
14	21
14	22
14	22
14	22
14	22
14	22
14	22
14	23
14	25
14	25
14	25
14	26
14	27
14	28
14	30
14	30
14	30
14	30
14	31
14	32
14	32
14	32
14	32
14	32
14	35
14	36
14	38
14	39
14	39
14	39
14	40
14	41
14	41
14	44
14	44
14	45
14	47
14	49
14	49
14	50
14	50
14	51
14	51
14	51
14	52
14	54
14	54
14	54
14	54
14	54
14	54
14	55
14	55
14	55
14	57
14	59
14	59
14	61
14	61
14	61
14	63
14	63
14	63
14	64
14	64
14	66
14	68
14	69
14	69
14	69
14	69
14	69
14	69
14	72
14	72
14	72
14	72
14	73
14	75
14	75
14	75
14	77
14	77
14	78
14	85
14	85
14	85
14	86
14	87
14	92
14	92
14	95
14	97
14	99
14	99
14	99
14	99
14	99
14	99
14	100
14	104
14	104
14	106
14	108
14	111
14	111
14	111
14	111
14	111
15	1
15	1
15	1
15	1
15	1
15	3
15	3
15	3
15	3
15	4
15	5
15	6
15	6
15	6
15	6
15	7
15	7
15	9
15	9
15	10
15	11
15	12
15	12
15	13
15	13
15	13
15	14
15	15
15	15
15	15
15	15
15	15
15	16
15	16
15	18
15	19
15	20
15	20
15	21
15	21
15	22
15	24
15	24
15	26
15	26
15	26
15	28
15	28
15	29
15	29
15	29
15	29
15	30
15	30
15	31
15	31
15	33
15	33
15	35
15	35
15	35
15	35
15	36
15	37
15	38
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	39
15	40
15	41
15	42
15	43
15	43
15	43
15	46
15	49
15	49
15	51
15	52
15	53
15	53
15	53
15	53
15	54
15	54
15	55
15	55
15	56
15	56
15	58
15	58
15	59
15	60
15	61
15	62
15	63
15	63
15	63
15	65
15	66
15	68
15	71
15	73
15	75
15	79
15	86
15	86
15	86
15	86
15	87
15	88
15	92
15	94
15	94
15	94
15	94
15	95
15	100
15	104
15	104
15	104
15	104
15	105
15	105
15	105
15	109
15	111
16	1
16	2
16	2
16	3
16	3
16	3
16	3
16	4
16	5
16	5
16	6
16	6
16	7
16	7
16	7
16	8
16	9
16	9
16	9
16	10
16	10
16	10
16	10
16	10
16	10
16	10
16	11
16	11
16	11
16	12
16	12
16	13
16	16
16	16
16	16
16	16
16	16
16	16
16	16
16	16
16	16
16	17
16	17
16	17
16	17
16	17
16	17
16	18
16	18
16	19
16	19
